710,"AUTOELIA S.A.",2021-06-01
711,"JUAN NEBLE HASTA (AXIANS ACUNTIA S.A.U.)",2021-06-01
712,"JARA INNOVACIÓN S.L.",2021-06-01
713,"NEW IGNITION BUSINESS S.L.",2021-06-01
714,"PHOENIX REDES Y PROY. INFORM (CUCORENT)",2021-06-01
715,"SDLE (STAR DEFENCE LOGISTICS & ENGINEERING",2021-06-01
716,"COL. NUESTRA SRA. MARAVILLAS",2021-06-01
717,"FONTVENTA S.L.",2021-06-01
718,"PIENSA AUDIOVISUAL",2021-06-01
719,"MICROSYSCOM S.L.",2021-06-01
720,"POSTVENTA DIGITAL SERVICIO 10 S.L.",2021-06-01
721,"YADRA SA",2021-06-01
722,"HOSPITAL CLÍNICO SAN CARLOS",2021-06-01
723,"INFORTECNICA SERVICIOS INFORMATICOS",2021-06-01
724,"UNIVERSO 10 SL",2021-06-01
725,"ALIASIS COMUNIC. DE EMPRESAS",2021-06-01
726,"C. SUPERIOR DE EST. UNIV LA SALLE",2021-06-01
727,"FUNDACIÓN APRENDER COL. BROT",2021-06-01
728,"CRUZ ROJA ESPAÑOLA",2021-06-01
729,"PROYDE",2021-06-01
730,"EL CORTE INGLÉS",2021-06-01
731,"FUNDACION VILLENA LA SALLE",2021-06-01
732,"TMI REPARACIÓN MOTOS SL",2021-06-01
733,"SUPRA GAMBOA",2021-06-01
734,"DEALER Y SERVICIO POSTVENTA",2021-06-01
735,"HOSPITAL F. ALCORCÓN",2021-06-01
736,"DRINELA SUPPORT SL",2021-06-01
737,"MORENO RAMIREZ JAVIER SLNE",2021-06-01
738,"LA CASITA DE KIKA",2021-06-01
739,"PIPOS SL",2021-06-01
740,"EL PEQUEÑO MOZART",2021-06-01
741,"PIPOLANDIA",2021-06-01
742,"EI LUNA DE PAPEL",2021-06-01
743,"EI EL REY DE LA CASA",2021-06-01
744,"FUND. ESCOLAPIAS MONTAL EI CHUPETINES",2021-06-01
745,"COLEGIO HH AMORÓS",2021-06-01
746,"EL CASTILLO DE NANOS SL",2021-06-01
747,"GEBAI, SCM (EI EL COCHECITO LERÉ)",2021-06-01
748,"ELMAPAZ DAVILA",2021-06-01
749,"PISPAS EDUCACIÓN INFANTIL SL",2021-06-01
750,"EI SAN ROQUE",2021-06-01
751,"EI CUATRO PECAS",2021-06-01
752,"EI BABYLIN SL",2021-06-01
753,"EI PEQUEÑECOS",2021-06-01
754,"NUBES DE COLORES EDUCACIÓN SL",2021-06-01
755,"EI SAN VICENTE PAUL",2021-06-01
756,"EI LAPIZITOS",2021-06-01
757,"NEMOMARLIN CARABANCHEL",2021-06-01
758,"VIRGEN DEL PARQUE SL",2021-06-01
759,"UNA DÉCIMA DE SEGUNDO",2021-06-01
760,"EI EL NIÑO JESÚS",2021-06-01
761,"EI MARGAL",2021-06-01
761,"EI FANTASÍA",2021-06-01
763,"NUEVO PICCOLO SA",2021-06-01
764,"FEMA Y DESA (EI DE PEQUES)",2021-06-01
765,"CARANA INICIATIVAS SL (EI CARANA VALDEMARÍN)",2021-06-01
766,"COLEGIO SAN EULOGIO",2021-06-01
767,"CIE SOCIEDAD COOPER. MADRILEÑA",2021-06-01
768,"EI LUNALUNERA",2021-06-01
769,"ADACEM ESC INF (EI NEMOMARLIN CONDE DE ORGAZ)",2021-06-01
770,"FUNDACIÓN SAN BERNARDO",2021-06-01
771,"DEHESA DEL PRINCIPE SLM",2021-06-01
772,"PROSCIENCIA SOC COOP LIM ALKOR",2021-06-01
773,"ALCORLED SPAIN SL",2021-06-01
774,"SOMOSAGUAS HISPAFACTORY GEST DEPORTIVAS",2021-06-01
775,"CLECE",2021-06-01
776,"ELATE SA",2021-06-01
777,"ALPE AYRELUX",2021-06-01
778,"ATRIUM SELEC Y FORMACIÓN SL",2021-06-01
779,"INNOVACIÓN Y DESARROLLO DE N CANALES COMERCIALES",2021-06-01
780,"LABORATORIOS DIATER SA",2021-06-01
781,"ILUSTRE COLEGIO DE ABOGADOS DE MADRID",2021-06-01
782,"FULL ON NET",2021-06-01
783,"R2 SISTEMAS INFORMÁTICOS SL",2021-06-01
784,"MIRAME INTERNET RESOURCES AND MEDIA ING",2021-06-01
785,"CEFENISA SL",2021-06-01
786,"TRIZAN SL",2021-06-01
787,"COMPLETE ENTERTAINMENT EXCHANGE SL",2021-06-01
788,"NORAUTO SAU",2021-06-01
789,"ALAUS SERVICIOS 2000 SL",2021-06-01
790,"SOLUCIONES TECNOLÓGICAS CUIDAMIPC SL",2021-06-01
791,"DATASERV ESPAÑA SL",2021-06-01
792,"COCENTRO SA (IVECO)",2021-06-01
793,"MINIMOS Y DIMINUTOS",2021-06-01
794,"EEI LAS MARAVILLAS",2021-06-01
795,"EL EL BOSQUE DE COLORINES",2021-06-01
796,"EL LAS ACACIAS",2021-06-01
797,"CLEVER CLOGS SL",2021-06-01
798,"WISDOM SCHOOL",2021-06-01
799,"DÓNDE ESTÁN LAS LLAVES SL",2021-06-01
800,"ÁBACO (COLEGIO)",2021-06-01
801,"EI NACER SL",2021-06-01
802,"SELIGRAT DE AUTOMOCIÓN SL",2021-06-01
803,"SEALCO MOTOR SA",2021-06-01
804,"MONCAMOVIL SL",2021-06-01
805,"EI PEQUESOL SL",2021-06-01
806,"CIBERNOS SA",2021-06-01
807,"AUTOMÓVILES MOSANCAR",2021-06-01
808,"CEMI SISTEMAS SL",2021-06-01
809,"LUIS MIGUEL SÁNCHEZ GONZÁLEZ",2021-06-01
810,"VIA FIBRA ÓPTICA SL",2021-06-01
811,"HOSPITAL PUERTA DE HIERRO",2021-06-01
812,"CENTRO DE INNOVACIÓN Y SOLUCIONES EMPRESARIALES Y TECNOLÓGICAS",2021-06-01
813,"BEIGAR CONSULTORES SL",2021-06-01
814,"LITTLE HOUSE SCHOOL",2021-06-01
815,"FUND. EDUCATIVA FRANCISCANAS ANA MOGAS",2021-06-01
816,"GRANDES ALMACENES FNAC",2021-06-01
817,"ADACEM EI NEMOMARLIN (bUTARQUE)",2021-06-01
818,"JET COMPUTER SL",2021-06-01
819,"BIDAFARMA S.COOP. ANA",2021-06-01
820,"BPO SOLUTIONS APSIN SL",2021-06-01
821,"DOSAUTOS SL. MD. CAMBIOS",2021-06-01
822,"LUMÍNICA ELECTRICIDAD SL",2021-06-01
823,"ELECNOR",2021-06-01
824,"INST. ELÉCTRICAS HNOS ALAMILLO SL",2021-06-01
825,"SIGNO SERVICIOS EDUCATIVOS SL",2021-06-01
826,"HNOS. ESCUELAS CRISTIANAS LA SALLE SECTOR",2021-06-01
